id,description
2,"The mighty hippogryph Sharptalon has been slain, with the claw of the felled beast serving as a testament to your victory.  Senani Thunderheart at the Splintertree Post will no doubt be interested in seeing this trophy as proof of your deeds."
5,"I've been stuck hiding in this ghost town for weeks, and I haven't eaten anything but grubs and weeds!  I need some decent food, and I'm willing to trade well for it.Bring me a feast and I'll pay you handsomely.I heard Chef Grual at the Scarlet Raven Tavern in Darkshire makes very good Dusky Crab Cakes..."
6,"Garrick Padfoot - a cutthroat who's plagued our farmers and merchants for weeks - was seen at a shack near the vineyards, which lies east of the Abbey and across the bridge.  Bring me the villain's head, and earn his bounty!But be wary, <name>.  Garrick has gathered a gang of thugs around him.  He will not be an easy man to reach."
7,"Your first task is one of cleansing, <name>.  A clan of kobolds have infested the woods to the north.  Go there and fight the kobold vermin you find.  Reduce their numbers so that we may one day drive them from Northshire."
8,"Hey, mate! Do a favor for a young man who's been fighting more than his fair share of mindless zombies and spiders?I got this here letter that needs to go to Brill... to an innkeeper named Renee something-or-other. Don't really matter none what her last name is.Anyway, it's a nice cozy little place full of victims of the plague trying to make their way in the world. And it be a great spot for you to rest too if the need arises. You should check it out... you do and I'll pay you well."
9,"Look at what has happened to this place!  These lands were once occupied by good farm folk.  But the damned thieves have driven them all off.  Not me, though!  But it seems some Harvest Watchers have taken over the fields.If you're up for the work, I'd like you to go out and kill twenty of them.  Come back when you're done for your pay.  If you finish up with the ones in my field, clear them from the neighboring fields as well."
10,"Oh, this is just terrible!  I sent out my top assistant, Junior Surveyor Scrimshank, into the desert southeast of here.  That's an area we call the Gaping Chasm.  Well, he's gone missing, and his last report had more of those weird bugs where he was.  Could it be that they've infested two major regions of the desert now?I need you to head into the Gaping Chasm and look for Scrimshank, please!  That... or at least find his surveying equipment.  I fear that may be all that is left of the poor sod."
11,"Gnolls, brutish creatures with no decent business in these lands, have been seen along the borders of Elwynn Forest.  A large pack of them, many more than we can handle alone, have infested the woods south of the guard tower yonder.  Another group has infested the areas near Stone Cairn Lake to the east.The Stormwind Army will commend whomever helps kill them.  Bring me their painted gnoll armbands as proof of your deed."
12,"The People's Militia has but one goal:  To defend the lands of Westfall and return peace to our surroundings.  Unfortunately, the price of peace is often blood.One of my scouts has brought word of a band of Defias Trappers wreaking havoc nearby.  I have reports of Defias Trapper sightings near the Jangolode Mine to the Northwest as well as at the Molsen Farm and Furlbrow's Pumpkin Farm. If you seek to join our ranks, slay 15 Defias Trappers and 15 Defias Smugglers then return to me."
13,"A band of vicious Defias Pillagers has been seen plundering the Gold Coast Quarry, Moonbrook and the Alexston Farmstead.  The People's Militia will not stand for such behavior.  Dispatch immediately, <name>, and make the Light's presence known in Westfall.The Gold Coast Quarry is near the shore, to the West of the tower.  As the next step of your training, I want you to kill 15 of those foul Defias Pillagers and 15 Defias Looters."
